,industry,job_title,skills_required,experience_level,employment_type,location,salary_range_usd,posted_date,company_size,tools_preferred
13,5,7,"['Excel', 'MLflow', 'NumPy', 'Hugging Face', 'LangChain', 'FastAPI']",2,3,66,137004,2024-11,1,"['LangChain', 'TensorFlow', 'Scikit-learn']"
14,2,6,"['Pandas', 'CUDA', 'NumPy', 'FastAPI']",1,1,56,129842,2024-07,0,['FastAPI']
15,0,6,"['Hugging Face', 'Scikit-learn', 'Reinforcement Learning']",2,1,104,124669,2024-04,2,['TensorFlow']
16,1,5,"['MLflow', 'R', 'C++']",0,3,42,137523,2025-05,1,['LangChain']
17,0,0,"['Excel', 'MLflow', 'Hugging Face', 'Flask', 'Power BI']",0,2,189,138184,2024-04,2,['BigQuery']
18,4,4,"['AWS', 'Azure', 'Power BI', 'CUDA', 'Reinforcement Learning', 'Hugging Face']",2,1,28,100845,2024-10,1,"['BigQuery', 'FastAPI', 'KDB+']"
19,1,5,"['R', 'CUDA', 'Power BI', 'AWS']",1,2,25,115578,2024-08,0,['MLflow']
20,5,7,"['C++', 'Power BI', 'R', 'SQL', 'Keras', 'Azure']",0,1,105,122521,2024-01,0,"['Scikit-learn', 'BigQuery', 'PyTorch']"
21,5,7,"['LangChain', 'NumPy', 'CUDA', 'C++', 'MLflow', 'R']",0,3,148,62483,2023-12,0,"['PyTorch', 'LangChain']"
22,1,6,"['CUDA', 'FastAPI', 'Scikit-learn', 'MLflow', 'Hugging Face']",1,1,160,74317,2024-11,2,"['PyTorch', 'Scikit-learn', 'KDB+']"
23,6,6,"['PyTorch', 'CUDA', 'Hugging Face', 'Flask', 'C++']",2,2,121,68115,2023-12,1,['Scikit-learn']
24,4,6,"['Python', 'Reinforcement Learning', 'MLflow']",1,2,178,89840,2025-06,1,['FastAPI']
25,3,6,"['PyTorch', 'Reinforcement Learning', 'FastAPI', 'Power BI', 'Python', 'R']",1,1,12,107786,2024-12,1,"['FastAPI', 'PyTorch', 'KDB+']"
26,2,7,"['Azure', 'Flask', 'FastAPI', 'Hugging Face', 'Power BI', 'Python']",2,2,48,44309,2025-01,0,"['TensorFlow', 'Scikit-learn', 'FastAPI']"
27,4,3,"['R', 'Python', 'Pandas']",0,0,167,124616,2025-02,2,"['PyTorch', 'MLflow']"
28,3,3,"['Flask', 'Hugging Face', 'Pandas', 'Python', 'Scikit-learn', 'Keras']",1,2,62,142616,2025-01,2,"['Scikit-learn', 'FastAPI', 'LangChain']"
29,3,3,"['Scikit-learn', 'SQL', 'Azure']",0,0,176,70932,2024-06,2,['TensorFlow']
30,6,7,"['Keras', 'Excel', 'TensorFlow']",2,3,168,54565,2024-06,2,"['KDB+', 'PyTorch']"
31,4,4,"['Hugging Face', 'Scikit-learn', 'C++', 'Excel', 'Azure']",0,3,75,112660,2023-09,1,"['LangChain', 'KDB+']"
32,6,0,"['Keras', 'PyTorch', 'AWS', 'FastAPI', 'CUDA']",1,0,91,55330,2024-09,2,"['TensorFlow', 'Scikit-learn']"
33,3,6,"['MLflow', 'Keras', 'SQL', 'GCP', 'Power BI']",2,2,176,110439,2023-11,2,['PyTorch']
34,0,2,"['GCP', 'C++', 'Excel']",0,0,108,97714,2024-04,0,"['TensorFlow', 'Scikit-learn']"
35,3,2,"['PyTorch', 'LangChain', 'R']",1,1,103,87250,2023-12,2,"['Scikit-learn', 'FastAPI', 'MLflow']"
36,5,1,"['Excel', 'SQL', 'Python']",0,0,9,77074,2024-11,1,"['Scikit-learn', 'LangChain', 'KDB+']"
37,1,5,"['SQL', 'Hugging Face', 'TensorFlow']",1,1,140,116061,2025-05,2,['MLflow']
38,5,4,"['PyTorch', 'Power BI', 'AWS', 'FastAPI']",2,2,129,87411,2024-06,1,['LangChain']
39,0,3,"['Power BI', 'PyTorch', 'GCP', 'CUDA', 'Keras', 'Scikit-learn']",0,2,71,88562,2025-06,1,"['FastAPI', 'Scikit-learn', 'LangChain']"
40,1,7,"['NumPy', 'AWS', 'Excel', 'SQL', 'Keras']",2,1,15,41935,2025-02,1,"['Scikit-learn', 'TensorFlow', 'BigQuery']"
41,1,6,"['R', 'Power BI', 'CUDA', 'MLflow']",1,3,25,126443,2023-11,2,['TensorFlow']
42,4,0,"['NumPy', 'SQL', 'Python', 'Reinforcement Learning', 'LangChain']",0,3,167,99978,2024-09,0,"['PyTorch', 'TensorFlow', 'FastAPI']"
43,2,7,"['Hugging Face', 'Flask', 'TensorFlow', 'Excel', 'SQL']",0,0,122,65214,2025-03,0,"['TensorFlow', 'LangChain', 'PyTorch']"
44,0,7,"['Hugging Face', 'Pandas', 'CUDA', 'LangChain', 'FastAPI']",1,2,139,71101,2025-03,1,['KDB+']
45,4,5,"['LangChain', 'AWS', 'GCP']",0,2,82,119200,2025-02,2,"['FastAPI', 'MLflow', 'TensorFlow']"
46,3,4,"['Scikit-learn', 'PyTorch', 'Flask', 'Azure']",1,0,175,122083,2024-08,2,"['PyTorch', 'BigQuery']"
47,0,2,"['GCP', 'TensorFlow', 'Power BI']",0,0,107,144773,2025-02,1,"['MLflow', 'BigQuery', 'LangChain']"
48,2,6,"['TensorFlow', 'LangChain', 'PyTorch', 'Power BI', 'R']",0,1,191,78317,2024-03,1,"['KDB+', 'PyTorch', 'MLflow']"
49,3,6,"['Power BI', 'CUDA', 'C++', 'Pandas', 'SQL', 'AWS']",1,3,167,75575,2024-05,0,"['FastAPI', 'KDB+', 'Scikit-learn']"
50,1,0,"['TensorFlow', 'Keras', 'PyTorch', 'AWS', 'Scikit-learn']",0,3,82,133185,2023-09,0,['BigQuery']
51,1,2,"['Azure', 'Keras', 'Scikit-learn', 'Hugging Face', 'Excel', 'R']",0,0,117,73140,2025-05,1,"['LangChain', 'KDB+', 'FastAPI']"
52,3,4,"['Keras', 'Pandas', 'Python', 'FastAPI', 'CUDA', 'Scikit-learn']",1,0,87,69031,2025-05,0,['MLflow']
53,6,7,"['R', 'SQL', 'Python', 'PyTorch']",1,3,168,49382,2024-11,0,"['LangChain', 'BigQuery', 'MLflow']"
54,4,7,"['Keras', 'Excel', 'FastAPI', 'Azure', 'R', 'PyTorch']",2,3,110,135916,2024-11,2,"['FastAPI', 'TensorFlow', 'BigQuery']"
55,6,5,"['Power BI', 'LangChain', 'Flask', 'Excel', 'SQL', 'CUDA']",2,1,142,149271,2025-04,2,"['BigQuery', 'PyTorch', 'TensorFlow']"
56,2,3,"['AWS', 'Excel', 'Azure']",0,2,117,56348,2023-11,1,"['LangChain', 'Scikit-learn', 'PyTorch']"
57,5,5,"['Excel', 'AWS', 'Keras', 'Azure', 'FastAPI', 'R']",2,3,89,69159,2025-02,0,"['MLflow', 'LangChain']"
58,6,1,"['FastAPI', 'C++', 'Excel', 'Flask', 'Pandas']",2,1,18,78305,2025-06,0,"['FastAPI', 'PyTorch', 'LangChain']"
59,3,0,"['TensorFlow', 'C++', 'SQL', 'Hugging Face', 'Flask', 'Power BI']",1,2,175,64238,2023-09,2,['BigQuery']
60,3,3,"['Power BI', 'Excel', 'GCP']",2,1,129,53583,2024-06,1,['MLflow']
61,5,0,"['Python', 'FastAPI', 'Scikit-learn', 'Hugging Face', 'Power BI', 'Flask']",0,1,151,50457,2024-05,2,['LangChain']
62,5,2,"['Hugging Face', 'Keras', 'Scikit-learn']",1,2,130,97883,2024-10,0,"['TensorFlow', 'LangChain']"
63,1,0,"['Reinforcement Learning', 'LangChain', 'Python']",0,1,90,94965,2025-02,2,['FastAPI']
64,1,1,"['Azure', 'Pandas', 'Power BI', 'MLflow']",0,2,147,81202,2025-01,2,"['PyTorch', 'TensorFlow', 'FastAPI']"
65,5,1,"['C++', 'Reinforcement Learning', 'NumPy', 'Azure', 'MLflow', 'Flask']",1,0,150,106117,2023-12,0,"['FastAPI', 'KDB+']"
66,0,0,"['LangChain', 'FastAPI', 'SQL']",2,2,54,137229,2024-04,0,"['BigQuery', 'KDB+']"
67,5,3,"['NumPy', 'Python', 'Azure', 'GCP', 'C++', 'Scikit-learn']",2,1,102,40995,2024-12,2,['PyTorch']
68,4,3,"['Power BI', 'AWS', 'NumPy', 'CUDA', 'MLflow']",1,3,98,129140,2023-12,1,"['LangChain', 'PyTorch', 'MLflow']"
69,2,3,"['LangChain', 'PyTorch', 'Flask']",1,3,12,86690,2025-06,1,['BigQuery']
70,5,5,"['Flask', 'Scikit-learn', 'NumPy']",0,2,191,85816,2025-03,1,"['FastAPI', 'PyTorch']"
71,4,7,"['SQL', 'FastAPI', 'LangChain', 'Scikit-learn', 'NumPy', 'TensorFlow']",2,1,168,60805,2024-02,2,"['FastAPI', 'LangChain']"
72,2,3,"['Azure', 'Excel', 'TensorFlow']",2,1,188,118377,2025-05,0,"['PyTorch', 'BigQuery', 'Scikit-learn']"
73,0,6,"['C++', 'MLflow', 'CUDA', 'Hugging Face']",1,2,110,81382,2023-11,0,"['MLflow', 'PyTorch']"
74,0,5,"['MLflow', 'NumPy', 'R', 'C++', 'PyTorch']",2,1,101,132555,2025-09,2,['KDB+']
75,0,1,"['R', 'Python', 'Flask']",1,0,171,54185,2023-12,1,"['FastAPI', 'TensorFlow', 'PyTorch']"
76,1,1,"['FastAPI', 'Hugging Face', 'PyTorch']",1,2,180,101020,2025-07,2,['PyTorch']
77,1,6,"['Pandas', 'Flask', 'FastAPI', 'Reinforcement Learning']",1,2,46,49529,2024-02,2,"['LangChain', 'PyTorch', 'Scikit-learn']"
78,6,7,"['Reinforcement Learning', 'Flask', 'NumPy', 'LangChain']",0,0,80,88756,2024-10,2,['LangChain']
79,4,5,"['AWS', 'TensorFlow', 'Flask', 'Power BI']",2,2,33,108574,2025-01,0,['KDB+']
80,2,1,"['Reinforcement Learning', 'Python', 'Pandas', 'TensorFlow']",1,2,10,111184,2025-08,0,"['Scikit-learn', 'MLflow', 'PyTorch']"
81,3,3,"['R', 'C++', 'GCP', 'Hugging Face', 'LangChain', 'TensorFlow']",0,3,66,120456,2024-01,0,"['PyTorch', 'Scikit-learn', 'BigQuery']"
82,3,0,"['Flask', 'Azure', 'C++', 'Excel']",0,2,113,86740,2025-09,1,['MLflow']
83,2,3,"['MLflow', 'Hugging Face', 'Python', 'Scikit-learn']",0,3,5,78116,2025-04,1,"['MLflow', 'LangChain', 'KDB+']"
84,1,2,"['FastAPI', 'SQL', 'Flask', 'CUDA', 'C++', 'Scikit-learn']",1,0,148,42962,2024-11,2,"['FastAPI', 'LangChain']"
85,6,3,"['LangChain', 'FastAPI', 'PyTorch', 'CUDA', 'AWS']",2,3,140,51640,2024-03,0,"['BigQuery', 'Scikit-learn', 'MLflow']"
86,2,7,"['C++', 'Power BI', 'NumPy']",1,0,152,98118,2024-09,0,"['LangChain', 'BigQuery']"
87,3,7,"['FastAPI', 'Scikit-learn', 'LangChain']",1,2,154,140819,2023-11,1,"['LangChain', 'MLflow']"
88,3,1,"['Flask', 'Python', 'Power BI', 'CUDA']",0,2,184,82496,2025-03,2,"['FastAPI', 'LangChain', 'BigQuery']"
89,3,1,"['Python', 'SQL', 'C++', 'FastAPI']",0,2,72,124249,2023-10,2,"['KDB+', 'LangChain']"
90,0,6,"['TensorFlow', 'Power BI', 'FastAPI', 'LangChain', 'Scikit-learn', 'Python']",1,0,129,81426,2023-10,1,"['BigQuery', 'KDB+', 'LangChain']"
91,6,4,"['GCP', 'LangChain', 'Keras']",0,2,186,51104,2025-03,0,"['LangChain', 'FastAPI', 'Scikit-learn']"
92,3,6,"['Excel', 'TensorFlow', 'Pandas', 'CUDA']",0,1,111,143177,2025-08,2,"['MLflow', 'FastAPI', 'TensorFlow']"
93,2,6,"['FastAPI', 'PyTorch', 'CUDA', 'Flask', 'Scikit-learn']",1,1,127,139393,2025-07,0,"['LangChain', 'BigQuery']"
94,4,5,"['Hugging Face', 'Python', 'FastAPI', 'CUDA', 'GCP']",0,3,5,111746,2024-10,1,"['LangChain', 'BigQuery']"
95,4,2,"['PyTorch', 'MLflow', 'Scikit-learn', 'Excel', 'Pandas']",2,3,140,107083,2025-08,2,['LangChain']
96,2,1,"['Pandas', 'R', 'FastAPI', 'AWS', 'MLflow', 'Python']",2,3,144,126865,2024-11,2,"['LangChain', 'FastAPI']"
97,3,2,"['Python', 'SQL', 'Power BI', 'Scikit-learn', 'FastAPI']",1,0,94,127896,2023-12,0,"['FastAPI', 'KDB+', 'LangChain']"
98,4,3,"['Keras', 'NumPy', 'Excel', 'C++', 'Pandas']",0,0,23,133789,2024-05,0,"['TensorFlow', 'BigQuery']"
99,5,2,"['Keras', 'Power BI', 'MLflow', 'AWS']",1,0,47,126422,2025-09,1,['TensorFlow']
100,4,5,"['Pandas', 'MLflow', 'Hugging Face', 'SQL']",0,0,140,53156,2025-07,2,['TensorFlow']
101,5,4,"['Hugging Face', 'LangChain', 'Azure', 'Scikit-learn', 'Flask']",2,2,47,76985,2025-08,0,"['KDB+', 'BigQuery', 'MLflow']"
102,2,7,"['Python', 'Pandas', 'NumPy', 'MLflow']",0,3,39,129308,2025-02,1,['KDB+']
103,3,4,"['Power BI', 'GCP', 'Scikit-learn']",2,2,38,112263,2025-03,1,['TensorFlow']
104,1,6,"['FastAPI', 'TensorFlow', 'NumPy', 'AWS', 'Azure']",0,0,145,147332,2024-11,1,"['LangChain', 'Scikit-learn']"
105,0,2,"['CUDA', 'Pandas', 'GCP', 'LangChain', 'Azure', 'TensorFlow']",1,3,178,54559,2025-04,1,"['KDB+', 'MLflow']"
106,4,2,"['Keras', 'GCP', 'SQL']",2,1,51,91427,2023-10,1,"['BigQuery', 'FastAPI']"
107,6,0,"['Power BI', 'FastAPI', 'Reinforcement Learning', 'SQL', 'Keras', 'AWS']",2,0,130,120983,2025-03,0,"['TensorFlow', 'Scikit-learn', 'MLflow']"
108,2,5,"['AWS', 'Hugging Face', 'Flask', 'CUDA']",1,0,69,108083,2024-02,0,['BigQuery']
109,4,7,"['Azure', 'MLflow', 'Excel', 'CUDA']",1,0,23,43248,2024-06,1,['Scikit-learn']
110,2,1,"['SQL', 'Flask', 'NumPy', 'Power BI', 'Excel']",0,1,104,73459,2024-09,0,['KDB+']
111,4,1,"['GCP', 'Azure', 'Reinforcement Learning', 'TensorFlow', 'CUDA', 'FastAPI']",1,0,145,94345,2024-07,0,['Scikit-learn']
112,4,6,"['Python', 'FastAPI', 'R']",1,3,70,113621,2024-08,1,"['MLflow', 'Scikit-learn', 'FastAPI']"
113,3,4,"['Scikit-learn', 'Pandas', 'GCP', 'Python', 'R']",0,3,0,43828,2025-05,1,['KDB+']
114,6,7,"['AWS', 'Python', 'GCP', 'R', 'C++', 'FastAPI']",2,1,86,118046,2025-06,2,"['Scikit-learn', 'TensorFlow']"
115,2,6,"['NumPy', 'LangChain', 'Excel', 'Keras']",0,3,79,143236,2024-03,0,['MLflow']
116,0,3,"['NumPy', 'Scikit-learn', 'Keras', 'TensorFlow', 'Hugging Face', 'Excel']",0,0,99,70478,2025-05,0,"['LangChain', 'KDB+']"
117,1,3,"['TensorFlow', 'R', 'Hugging Face']",1,2,19,69403,2024-04,2,['Scikit-learn']
118,0,6,"['Python', 'Power BI', 'Pandas', 'MLflow', 'Keras', 'Scikit-learn']",1,0,194,143437,2024-01,1,"['MLflow', 'PyTorch', 'FastAPI']"
119,5,6,"['PyTorch', 'GCP', 'NumPy', 'Python', 'Pandas', 'Keras']",0,0,143,59290,2025-08,1,"['TensorFlow', 'KDB+', 'BigQuery']"
120,5,1,"['SQL', 'Excel', 'Python']",1,1,68,124112,2024-10,1,"['Scikit-learn', 'MLflow']"
121,3,1,"['GCP', 'Keras', 'Azure', 'SQL', 'Scikit-learn', 'NumPy']",0,0,175,93411,2024-07,0,['BigQuery']
122,3,2,"['Azure', 'TensorFlow', 'PyTorch', 'AWS', 'Flask']",2,0,39,98592,2024-10,2,"['KDB+', 'MLflow']"
123,1,7,"['Hugging Face', 'Power BI', 'SQL', 'FastAPI', 'C++', 'Reinforcement Learning']",1,2,154,109693,2023-10,0,['KDB+']
124,1,6,"['Keras', 'CUDA', 'TensorFlow']",1,3,14,128381,2025-08,2,"['BigQuery', 'TensorFlow']"
125,6,2,"['SQL', 'AWS', 'Power BI']",1,1,169,114132,2025-04,0,['PyTorch']
126,3,7,"['NumPy', 'CUDA', 'Scikit-learn', 'Keras', 'Excel', 'Pandas']",1,0,164,117985,2024-03,0,['Scikit-learn']
127,3,0,"['NumPy', 'PyTorch', 'FastAPI', 'CUDA', 'Azure']",0,1,154,98649,2024-11,0,"['LangChain', 'KDB+']"
128,5,6,"['Keras', 'Pandas', 'MLflow', 'Scikit-learn']",1,1,101,132259,2024-12,1,"['PyTorch', 'KDB+', 'LangChain']"
129,2,3,"['MLflow', 'NumPy', 'Scikit-learn', 'Azure', 'Keras']",2,2,181,92116,2025-03,2,['Scikit-learn']
130,1,6,"['AWS', 'Hugging Face', 'Python', 'Reinforcement Learning', 'Scikit-learn', 'LangChain']",0,2,90,111421,2024-09,0,['BigQuery']
131,4,6,"['Keras', 'Pandas', 'TensorFlow', 'CUDA']",1,1,115,64185,2025-02,0,"['KDB+', 'FastAPI']"
132,0,1,"['Power BI', 'CUDA', 'Scikit-learn']",2,0,60,114287,2025-04,1,"['BigQuery', 'LangChain', 'FastAPI']"
133,0,1,"['CUDA', 'Reinforcement Learning', 'TensorFlow', 'Power BI', 'FastAPI', 'LangChain']",2,2,120,67967,2025-09,1,['TensorFlow']
134,4,3,"['C++', 'MLflow', 'TensorFlow', 'NumPy', 'Excel', 'R']",0,3,30,119699,2024-02,1,"['PyTorch', 'FastAPI']"
135,3,6,"['Excel', 'CUDA', 'GCP', 'Scikit-learn', 'Python']",2,1,147,105893,2024-12,1,['PyTorch']
136,2,2,"['NumPy', 'MLflow', 'R', 'C++']",1,3,85,144509,2024-09,1,"['FastAPI', 'PyTorch', 'TensorFlow']"
137,3,0,"['AWS', 'GCP', 'R', 'Power BI']",2,0,42,125979,2024-03,2,"['BigQuery', 'Scikit-learn']"
138,4,0,"['Azure', 'Hugging Face', 'C++', 'Scikit-learn', 'Flask', 'Pandas']",1,3,69,96804,2024-01,0,"['LangChain', 'PyTorch', 'MLflow']"
139,5,3,"['SQL', 'AWS', 'Pandas', 'PyTorch', 'LangChain', 'C++']",2,0,16,145387,2025-08,2,['BigQuery']
140,0,7,"['AWS', 'Pandas', 'NumPy', 'LangChain', 'GCP', 'Flask']",0,0,160,44646,2025-06,0,"['Scikit-learn', 'TensorFlow']"
141,4,5,"['C++', 'PyTorch', 'NumPy', 'LangChain', 'AWS', 'Keras']",1,1,95,61799,2024-05,2,['TensorFlow']
142,4,0,"['MLflow', 'LangChain', 'Power BI', 'Scikit-learn', 'Pandas']",0,1,127,142495,2025-04,0,"['FastAPI', 'KDB+']"
143,2,4,"['NumPy', 'TensorFlow', 'GCP', 'LangChain']",1,0,6,52111,2024-01,2,"['Scikit-learn', 'KDB+']"
144,5,3,"['Scikit-learn', 'PyTorch', 'Python', 'GCP']",0,0,109,68548,2024-07,1,"['MLflow', 'KDB+']"
145,2,5,"['LangChain', 'Keras', 'Hugging Face', 'Scikit-learn', 'Reinforcement Learning']",0,0,37,82795,2025-03,0,"['BigQuery', 'MLflow', 'Scikit-learn']"
146,1,1,"['FastAPI', 'Python', 'Pandas', 'Azure']",0,2,91,94239,2025-08,1,['BigQuery']
147,5,6,"['Power BI', 'Flask', 'GCP', 'CUDA']",1,1,15,64790,2023-12,0,['FastAPI']
148,1,3,"['PyTorch', 'AWS', 'SQL']",2,1,129,133389,2025-09,2,"['PyTorch', 'Scikit-learn']"
149,0,2,"['CUDA', 'Python', 'Keras', 'SQL']",2,2,38,112241,2024-12,1,['KDB+']
150,2,1,"['NumPy', 'AWS', 'Azure', 'TensorFlow', 'CUDA']",1,1,152,66955,2024-03,2,"['FastAPI', 'TensorFlow', 'LangChain']"
151,1,5,"['Python', 'Keras', 'PyTorch']",1,2,87,84480,2024-03,1,['Scikit-learn']
152,3,0,"['TensorFlow', 'FastAPI', 'AWS']",1,0,24,74795,2023-12,1,['Scikit-learn']
153,2,1,"['CUDA', 'MLflow', 'LangChain']",1,2,137,128089,2024-07,2,"['TensorFlow', 'FastAPI', 'PyTorch']"
154,4,6,"['Flask', 'GCP', 'Azure', 'Reinforcement Learning', 'PyTorch']",1,0,88,59563,2024-06,1,"['MLflow', 'PyTorch', 'KDB+']"
155,0,3,"['PyTorch', 'Power BI', 'TensorFlow', 'Keras']",2,1,70,124014,2024-11,2,"['BigQuery', 'KDB+']"
156,2,2,"['Python', 'LangChain', 'Hugging Face', 'Excel', 'Flask', 'Reinforcement Learning']",2,2,95,82670,2025-06,2,"['TensorFlow', 'MLflow']"
157,2,6,"['Flask', 'Keras', 'Hugging Face', 'Azure', 'C++', 'SQL']",2,1,3,99523,2025-01,1,"['MLflow', 'Scikit-learn', 'FastAPI']"
158,3,7,"['R', 'NumPy', 'Keras', 'TensorFlow', 'Python', 'GCP']",1,0,16,63560,2025-09,0,"['Scikit-learn', 'KDB+', 'BigQuery']"
159,2,3,"['Power BI', 'Flask', 'LangChain', 'Excel', 'MLflow']",1,0,183,96246,2025-03,0,"['Scikit-learn', 'BigQuery', 'KDB+']"
160,2,7,"['FastAPI', 'Azure', 'Power BI', 'CUDA', 'Flask']",1,2,122,133411,2024-02,1,"['KDB+', 'BigQuery']"
161,4,6,"['MLflow', 'Excel', 'LangChain']",2,0,141,44241,2023-12,0,"['FastAPI', 'PyTorch']"
162,2,5,"['NumPy', 'Scikit-learn', 'AWS', 'Power BI', 'SQL']",1,2,98,42621,2025-03,2,"['Scikit-learn', 'MLflow', 'BigQuery']"
163,3,6,"['R', 'Keras', 'NumPy', 'FastAPI']",0,1,5,75069,2025-08,1,"['TensorFlow', 'MLflow']"
164,4,0,"['Keras', 'GCP', 'NumPy', 'AWS']",1,3,179,110005,2025-04,0,['LangChain']
165,4,2,"['Hugging Face', 'Reinforcement Learning', 'LangChain']",2,2,146,127733,2025-09,0,"['BigQuery', 'MLflow', 'FastAPI']"
166,6,2,"['LangChain', 'TensorFlow', 'AWS', 'Reinforcement Learning']",2,2,83,81580,2024-04,2,"['TensorFlow', 'BigQuery']"
167,0,3,"['FastAPI', 'Reinforcement Learning', 'Hugging Face', 'GCP', 'R']",0,2,111,46318,2024-10,1,['TensorFlow']
168,3,3,"['Power BI', 'Excel', 'SQL', 'AWS', 'Azure']",0,3,22,83360,2024-12,2,"['FastAPI', 'MLflow', 'KDB+']"
169,1,5,"['FastAPI', 'AWS', 'PyTorch']",1,1,23,50841,2025-05,1,['LangChain']
170,1,0,"['CUDA', 'Python', 'Keras']",2,2,20,84196,2025-03,2,"['FastAPI', 'PyTorch', 'TensorFlow']"
171,6,1,"['Flask', 'Azure', 'Hugging Face', 'FastAPI', 'Excel']",1,0,158,92704,2024-05,1,"['PyTorch', 'BigQuery']"
172,6,4,"['TensorFlow', 'CUDA', 'Reinforcement Learning', 'Flask', 'R']",0,2,74,61245,2024-01,1,"['FastAPI', 'PyTorch']"
173,5,0,"['NumPy', 'MLflow', 'Python', 'C++', 'Azure']",1,2,39,91839,2024-08,0,"['FastAPI', 'MLflow']"
174,6,0,"['NumPy', 'PyTorch', 'C++', 'MLflow', 'TensorFlow']",0,0,171,65330,2025-01,1,"['TensorFlow', 'KDB+', 'MLflow']"
175,0,6,"['Power BI', 'Azure', 'FastAPI', 'LangChain', 'NumPy']",1,0,175,142316,2025-01,1,"['KDB+', 'BigQuery']"
176,3,7,"['Excel', 'Azure', 'Python', 'R', 'Hugging Face']",1,2,71,86369,2025-04,1,"['PyTorch', 'LangChain', 'MLflow']"
177,4,0,"['Power BI', 'MLflow', 'NumPy', 'Pandas']",2,3,50,123834,2025-08,2,"['Scikit-learn', 'PyTorch', 'LangChain']"
178,0,0,"['LangChain', 'R', 'Hugging Face', 'Scikit-learn']",1,1,18,86874,2024-10,1,"['TensorFlow', 'BigQuery', 'KDB+']"
179,5,1,"['Power BI', 'TensorFlow', 'Azure', 'CUDA', 'GCP', 'Pandas']",0,2,9,91853,2024-02,2,"['TensorFlow', 'FastAPI']"
180,1,3,"['Reinforcement Learning', 'SQL', 'Scikit-learn', 'AWS']",2,1,109,115282,2025-05,0,"['KDB+', 'Scikit-learn', 'PyTorch']"
181,3,6,"['Scikit-learn', 'LangChain', 'Hugging Face', 'Python']",1,2,138,100075,2024-06,2,['PyTorch']
182,4,1,"['Python', 'NumPy', 'Flask', 'LangChain', 'R']",0,2,26,84286,2024-08,2,"['BigQuery', 'TensorFlow']"
183,0,7,"['PyTorch', 'Python', 'GCP', 'MLflow']",2,3,189,81464,2024-03,0,"['Scikit-learn', 'BigQuery']"
184,2,2,"['Python', 'MLflow', 'Azure', 'TensorFlow', 'Power BI']",0,1,50,142464,2025-01,1,['TensorFlow']
185,1,3,"['NumPy', 'R', 'MLflow', 'C++', 'FastAPI']",0,0,65,121357,2024-10,0,['BigQuery']
186,4,1,"['Excel', 'CUDA', 'Pandas']",1,3,59,126266,2024-01,0,"['LangChain', 'MLflow']"
187,5,2,"['Scikit-learn', 'SQL', 'Keras', 'GCP', 'AWS', 'NumPy']",1,1,39,43986,2024-09,0,['KDB+']
188,0,4,"['PyTorch', 'SQL', 'Reinforcement Learning', 'MLflow', 'AWS']",0,2,163,62157,2024-09,0,['BigQuery']
189,5,0,"['FastAPI', 'GCP', 'LangChain', 'MLflow']",0,3,30,102546,2024-05,0,"['PyTorch', 'KDB+']"
190,6,3,"['NumPy', 'R', 'Power BI', 'CUDA']",1,2,183,79611,2024-10,1,"['MLflow', 'LangChain', 'FastAPI']"
191,2,1,"['Pandas', 'CUDA', 'PyTorch']",2,3,162,142867,2024-01,1,"['FastAPI', 'BigQuery']"
