industry,job_title,skills_required,experience_level,employment_type,posted_date,company_size,tools_preferred,salary_min,country
Education,Data Scientist,"['CUDA', 'AWS', 'NumPy', 'Azure', 'Power BI']",Entry,Remote,2023-10-16,Large,"['TensorFlow', 'Scikit-learn', 'FastAPI']",89452,DE
Finance,Data Analyst,"['NumPy', 'MLflow', 'Flask', 'Keras', 'TensorFlow', 'FastAPI']",Senior,Remote,2023-10-16,Startup,"['PyTorch', 'MLflow', 'Scikit-learn']",46314,ID
Education,Computer Vision Engineer,"['Flask', 'GCP', 'FastAPI', 'Reinforcement Learning']",Mid,Full-time,2023-10-16,Mid,"['Scikit-learn', 'KDB+', 'PyTorch']",102732,BT
Automotive,Quant Researcher,"['GCP', 'FastAPI', 'Keras', 'R', 'CUDA', 'Hugging Face']",Senior,Full-time,2023-10-16,Mid,['KDB+'],87751,LI
Finance,AI Researcher,"['Python', 'SQL', 'C++', 'FastAPI']",Entry,Internship,2023-10-17,Startup,"['KDB+', 'LangChain']",124249,HR
Finance,AI Product Manager,"['Reinforcement Learning', 'NumPy', 'Scikit-learn']",Entry,Contract,2023-10-17,Startup,"['LangChain', 'BigQuery']",97354,JO
Automotive,AI Researcher,"['TensorFlow', 'MLflow', 'SQL', 'Flask', 'CUDA', 'C++']",Mid,Full-time,2023-10-17,Large,"['KDB+', 'PyTorch']",91255,NI
Automotive,Computer Vision Engineer,"['NumPy', 'R', 'Pandas']",Entry,Internship,2023-10-17,Mid,"['MLflow', 'KDB+']",124300,SA
Retail,AI Product Manager,"['R', 'Hugging Face', 'Flask', 'NumPy', 'Keras', 'C++']",Entry,Internship,2023-10-17,Mid,['KDB+'],138615,KH
Healthcare,AI Product Manager,"['FastAPI', 'Keras', 'MLflow']",Mid,Full-time,2023-10-18,Large,['FastAPI'],48248,DE
E-commerce,ML Engineer,"['Reinforcement Learning', 'Excel', 'LangChain', 'TensorFlow', 'FastAPI', 'R']",Mid,Internship,2023-10-18,Large,['TensorFlow'],146786,ZA
Automotive,NLP Engineer,"['TensorFlow', 'Power BI', 'FastAPI', 'LangChain', 'Scikit-learn', 'Python']",Mid,Contract,2023-10-19,Mid,"['BigQuery', 'KDB+', 'LangChain']",81426,NL
Tech,AI Researcher,"['Python', 'FastAPI', 'MLflow', 'LangChain']",Mid,Internship,2023-10-19,Large,['PyTorch'],42720,BE
E-commerce,Quant Researcher,"['LangChain', 'R', 'Azure', 'CUDA']",Entry,Contract,2023-10-19,Startup,"['Scikit-learn', 'BigQuery', 'PyTorch']",62352,TJ
Finance,Quant Researcher,"['PyTorch', 'CUDA', 'TensorFlow', 'FastAPI', 'Keras']",Senior,Full-time,2023-10-19,Startup,['Scikit-learn'],98888,CU
Tech,NLP Engineer,"['NumPy', 'Flask', 'Pandas']",Mid,Internship,2023-10-19,Startup,['KDB+'],72658,DJ
Tech,Data Scientist,"['TensorFlow', 'SQL', 'AWS', 'PyTorch', 'LangChain']",Mid,Remote,2023-10-19,Startup,['PyTorch'],77044,SM
Tech,AI Product Manager,"['SQL', 'CUDA', 'AWS']",Entry,Remote,2023-10-20,Startup,['TensorFlow'],44510,UY
Finance,ML Engineer,"['Pandas', 'GCP', 'Hugging Face']",Entry,Full-time,2023-10-20,Large,"['LangChain', 'BigQuery']",108142,VA
Finance,Data Analyst,"['Hugging Face', 'Scikit-learn', 'GCP', 'TensorFlow', 'NumPy']",Senior,Full-time,2023-10-20,Startup,['BigQuery'],100967,GB
Automotive,ML Engineer,"['Excel', 'FastAPI', 'Hugging Face', 'C++', 'GCP', 'R']",Senior,Remote,2023-10-21,Mid,"['Scikit-learn', 'TensorFlow']",72900,CN
E-commerce,Computer Vision Engineer,"['TensorFlow', 'CUDA', 'Pandas', 'Hugging Face', 'PyTorch', 'MLflow']",Senior,Internship,2023-10-21,Large,['KDB+'],128680,MR
Finance,NLP Engineer,"['LangChain', 'GCP', 'R', 'SQL']",Senior,Remote,2023-10-21,Mid,"['TensorFlow', 'Scikit-learn', 'KDB+']",136117,BG
Tech,Quant Researcher,"['Flask', 'Pandas', 'Reinforcement Learning', 'Scikit-learn', 'NumPy']",Entry,Internship,2023-10-21,Startup,"['FastAPI', 'KDB+']",125288,TL
Automotive,AI Product Manager,"['LangChain', 'Hugging Face', 'NumPy', 'Excel']",Entry,Contract,2023-10-22,Large,"['Scikit-learn', 'KDB+', 'BigQuery']",127612,ES
Education,NLP Engineer,"['MLflow', 'CUDA', 'Power BI', 'FastAPI']",Mid,Remote,2023-10-22,Startup,"['FastAPI', 'BigQuery']",87007,SB
Automotive,Computer Vision Engineer,"['Python', 'GCP', 'NumPy']",Entry,Internship,2023-10-22,Startup,"['MLflow', 'Scikit-learn']",94999,BS
Automotive,ML Engineer,"['NumPy', 'Keras', 'AWS', 'Python', 'LangChain', 'MLflow']",Mid,Contract,2023-10-22,Mid,"['BigQuery', 'LangChain', 'Scikit-learn']",123480,PY
E-commerce,NLP Engineer,"['Flask', 'Azure', 'R']",Senior,Full-time,2023-10-22,Large,['PyTorch'],82976,NA
Tech,Data Scientist,"['PyTorch', 'Python', 'Excel']",Entry,Internship,2023-10-22,Mid,"['FastAPI', 'BigQuery', 'TensorFlow']",92960,GA
Tech,Quant Researcher,"['Excel', 'C++', 'Hugging Face', 'R']",Senior,Full-time,2023-10-23,Startup,"['TensorFlow', 'MLflow', 'Scikit-learn']",95671,PL
Healthcare,Computer Vision Engineer,"['Reinforcement Learning', 'LangChain', 'CUDA', 'Hugging Face']",Entry,Remote,2023-10-23,Mid,"['LangChain', 'MLflow']",121547,HU
E-commerce,ML Engineer,"['FastAPI', 'Reinforcement Learning', 'MLflow']",Mid,Remote,2023-10-23,Large,"['MLflow', 'TensorFlow']",143317,ML
E-commerce,Computer Vision Engineer,"['AWS', 'Python', 'Flask', 'Pandas', 'Azure', 'LangChain']",Entry,Internship,2023-10-24,Startup,['Scikit-learn'],123977,LA
Education,NLP Engineer,"['Excel', 'Hugging Face', 'CUDA', 'Flask', 'TensorFlow', 'C++']",Entry,Contract,2023-10-26,Mid,"['PyTorch', 'KDB+', 'BigQuery']",80174,RO
Retail,Data Scientist,"['Reinforcement Learning', 'Flask', 'C++', 'Azure', 'Hugging Face', 'Python']",Senior,Remote,2023-10-26,Startup,['Scikit-learn'],107193,PA
Tech,AI Researcher,"['NumPy', 'PyTorch', 'Excel']",Mid,Remote,2023-10-26,Large,['KDB+'],52444,HN
Finance,AI Product Manager,"['FastAPI', 'MLflow', 'LangChain', 'Hugging Face', 'Power BI']",Entry,Remote,2023-10-29,Startup,"['TensorFlow', 'KDB+', 'BigQuery']",56526,AO
E-commerce,NLP Engineer,"['Reinforcement Learning', 'TensorFlow', 'CUDA']",Entry,Remote,2023-10-29,Startup,"['KDB+', 'BigQuery', 'PyTorch']",41243,CI
Education,AI Researcher,"['Power BI', 'Pandas', 'Python', 'Keras', 'NumPy', 'Scikit-learn']",Mid,Full-time,2023-10-29,Large,['PyTorch'],136005,TJ
Education,Quant Researcher,"['PyTorch', 'GCP', 'Reinforcement Learning', 'TensorFlow', 'FastAPI']",Mid,Remote,2023-10-29,Mid,"['KDB+', 'Scikit-learn', 'PyTorch']",105204,CO
Education,Data Analyst,"['Hugging Face', 'Excel', 'Scikit-learn', 'R', 'MLflow']",Entry,Contract,2023-10-29,Large,['PyTorch'],134994,CG
Automotive,AI Product Manager,"['MLflow', 'TensorFlow', 'NumPy', 'Pandas']",Mid,Remote,2023-10-30,Large,['TensorFlow'],59652,FR
Retail,Data Scientist,"['AWS', 'Flask', 'Keras', 'Hugging Face', 'NumPy', 'Scikit-learn']",Senior,Internship,2023-10-30,Large,['LangChain'],143864,TN
Tech,ML Engineer,"['Reinforcement Learning', 'Azure', 'Flask']",Mid,Remote,2023-10-30,Mid,"['BigQuery', 'FastAPI']",127636,CY
Education,Quant Researcher,"['R', 'Excel', 'SQL', 'MLflow', 'PyTorch', 'CUDA']",Senior,Remote,2023-10-30,Mid,['Scikit-learn'],79312,NI
E-commerce,Quant Researcher,"['Hugging Face', 'Power BI', 'SQL', 'FastAPI', 'C++', 'Reinforcement Learning']",Mid,Internship,2023-10-31,Large,['KDB+'],109693,SE
Finance,AI Researcher,"['Power BI', 'Excel', 'Azure', 'Keras', 'C++']",Entry,Contract,2023-10-31,Large,"['TensorFlow', 'LangChain']",109782,UG
E-commerce,ML Engineer,"['Excel', 'Flask', 'SQL', 'R']",Senior,Internship,2023-11-01,Large,['MLflow'],70051,LI
Retail,Data Analyst,"['AWS', 'Excel', 'NumPy', 'Flask', 'TensorFlow', 'Keras']",Entry,Internship,2023-11-02,Startup,"['Scikit-learn', 'BigQuery']",117216,GE
E-commerce,AI Researcher,"['R', 'AWS', 'Pandas']",Mid,Full-time,2023-11-03,Large,"['LangChain', 'TensorFlow']",68948,CD
Healthcare,Quant Researcher,"['Pandas', 'Reinforcement Learning', 'FastAPI']",Mid,Internship,2023-11-04,Mid,['Scikit-learn'],137620,DE
Automotive,AI Product Manager,"['Pandas', 'SQL', 'Power BI', 'Python', 'Reinforcement Learning']",Senior,Internship,2023-11-05,Mid,"['PyTorch', 'TensorFlow', 'Scikit-learn']",66099,KI
E-commerce,Computer Vision Engineer,"['NumPy', 'Flask', 'MLflow']",Entry,Remote,2023-11-05,Mid,"['PyTorch', 'FastAPI', 'Scikit-learn']",40044,SI
E-commerce,Computer Vision Engineer,"['Python', 'Reinforcement Learning', 'PyTorch', 'TensorFlow', 'Pandas', 'Power BI']",Mid,Remote,2023-11-06,Large,['Scikit-learn'],56260,MC
E-commerce,NLP Engineer,"['C++', 'Pandas', 'Keras', 'Excel']",Mid,Full-time,2023-11-06,Startup,"['MLflow', 'KDB+', 'Scikit-learn']",112490,TR
E-commerce,ML Engineer,"['TensorFlow', 'Power BI', 'Scikit-learn', 'Python', 'GCP', 'SQL']",Mid,Full-time,2023-11-07,Large,['LangChain'],109287,GB
Retail,Computer Vision Engineer,"['FastAPI', 'Keras', 'Hugging Face', 'Azure', 'NumPy']",Senior,Internship,2023-11-07,Large,['BigQuery'],146101,DK
Healthcare,Data Scientist,"['CUDA', 'Hugging Face', 'Python']",Entry,Remote,2023-11-07,Mid,"['FastAPI', 'PyTorch', 'TensorFlow']",76718,IE
E-commerce,Computer Vision Engineer,"['Python', 'Pandas', 'AWS', 'TensorFlow', 'SQL']",Senior,Remote,2023-11-08,Mid,"['KDB+', 'FastAPI']",67897,LU
E-commerce,Computer Vision Engineer,"['TensorFlow', 'CUDA', 'MLflow']",Senior,Internship,2023-11-08,Mid,"['TensorFlow', 'BigQuery']",140658,BZ
Tech,Computer Vision Engineer,"['R', 'Pandas', 'Flask']",Mid,Contract,2023-11-08,Large,['FastAPI'],99903,PL
Automotive,Computer Vision Engineer,"['Flask', 'Azure', 'SQL']",Entry,Contract,2023-11-08,Startup,['PyTorch'],140647,SB
Automotive,AI Researcher,"['Python', 'Hugging Face', 'Flask', 'Excel']",Entry,Full-time,2023-11-08,Mid,"['MLflow', 'LangChain', 'FastAPI']",84284,BZ
Automotive,AI Researcher,"['Azure', 'Scikit-learn', 'Python', 'AWS', 'LangChain', 'C++']",Entry,Full-time,2023-11-09,Startup,['TensorFlow'],84355,MD
Education,AI Product Manager,"['Flask', 'Scikit-learn', 'GCP', 'TensorFlow', 'NumPy']",Entry,Full-time,2023-11-09,Startup,['KDB+'],67463,SY
E-commerce,NLP Engineer,"['R', 'Power BI', 'CUDA', 'MLflow']",Mid,Full-time,2023-11-10,Startup,['TensorFlow'],126443,BW
E-commerce,Data Scientist,"['GCP', 'CUDA', 'NumPy']",Senior,Contract,2023-11-10,Startup,"['LangChain', 'Scikit-learn']",120985,AR
Tech,Data Scientist,"['LangChain', 'Pandas', 'Reinforcement Learning', 'R', 'FastAPI']",Mid,Remote,2023-11-10,Mid,"['MLflow', 'KDB+', 'PyTorch']",54969,BT
Finance,AI Researcher,"['Hugging Face', 'GCP', 'FastAPI']",Entry,Full-time,2023-11-11,Startup,['LangChain'],134451,KE
Tech,AI Product Manager,"['Scikit-learn', 'Pandas', 'FastAPI', 'AWS', 'Python']",Mid,Contract,2023-11-11,Large,"['FastAPI', 'LangChain']",75074,GA
Retail,NLP Engineer,"['Reinforcement Learning', 'MLflow', 'Hugging Face', 'C++', 'Azure']",Senior,Remote,2023-11-12,Startup,['MLflow'],104608,VE
Retail,ML Engineer,"['Azure', 'Reinforcement Learning', 'Flask', 'Scikit-learn']",Entry,Contract,2023-11-12,Mid,"['BigQuery', 'MLflow', 'FastAPI']",147468,UY
E-commerce,AI Product Manager,"['LangChain', 'Scikit-learn', 'Keras', 'Power BI', 'Excel']",Senior,Remote,2023-11-13,Mid,"['Scikit-learn', 'FastAPI']",133743,DJ
Healthcare,AI Researcher,"['Excel', 'TensorFlow', 'Hugging Face', 'MLflow', 'SQL']",Entry,Full-time,2023-11-13,Mid,"['FastAPI', 'TensorFlow', 'BigQuery']",92626,BB
Education,Data Analyst,"['Reinforcement Learning', 'SQL', 'AWS', 'FastAPI', 'TensorFlow', 'PyTorch']",Senior,Internship,2023-11-14,Large,"['BigQuery', 'MLflow']",115164,PW
Automotive,Data Analyst,"['NumPy', 'FastAPI', 'PyTorch']",Entry,Internship,2023-11-14,Startup,"['KDB+', 'TensorFlow', 'Scikit-learn']",130779,ME
Education,Data Analyst,"['AWS', 'Excel', 'Azure']",Entry,Internship,2023-11-16,Mid,"['LangChain', 'Scikit-learn', 'PyTorch']",56348,MR
Finance,Quant Researcher,"['FastAPI', 'Scikit-learn', 'LangChain']",Mid,Internship,2023-11-16,Mid,"['LangChain', 'MLflow']",140819,SE
Automotive,Computer Vision Engineer,"['Keras', 'R', 'CUDA', 'NumPy']",Entry,Internship,2023-11-16,Large,"['Scikit-learn', 'TensorFlow']",109567,JO
E-commerce,Computer Vision Engineer,"['AWS', 'R', 'FastAPI']",Senior,Remote,2023-11-16,Startup,"['MLflow', 'LangChain']",148358,PK
Education,Data Analyst,"['Excel', 'PyTorch', 'Python', 'TensorFlow', 'Hugging Face']",Mid,Remote,2023-11-16,Large,"['LangChain', 'KDB+', 'Scikit-learn']",56010,PS
Retail,ML Engineer,"['R', 'Pandas', 'NumPy']",Senior,Full-time,2023-11-17,Large,['TensorFlow'],96885,GM
Automotive,Data Scientist,"['FastAPI', 'CUDA', 'Pandas', 'Python', 'NumPy', 'Reinforcement Learning']",Entry,Contract,2023-11-17,Startup,"['PyTorch', 'LangChain', 'Scikit-learn']",47150,YE
Finance,ML Engineer,"['Power BI', 'Keras', 'TensorFlow']",Senior,Contract,2023-11-17,Mid,"['LangChain', 'Scikit-learn']",82804,SE
Automotive,ML Engineer,"['Python', 'R', 'Hugging Face', 'Scikit-learn', 'NumPy']",Entry,Remote,2023-11-17,Large,"['FastAPI', 'LangChain']",48725,VE
Finance,NLP Engineer,"['MLflow', 'Power BI', 'Keras']",Entry,Full-time,2023-11-18,Large,"['PyTorch', 'TensorFlow', 'MLflow']",148487,TG
Automotive,Data Analyst,"['Pandas', 'Reinforcement Learning', 'GCP', 'Hugging Face']",Entry,Internship,2023-11-18,Large,"['MLflow', 'PyTorch', 'TensorFlow']",138097,ME
Tech,NLP Engineer,"['Flask', 'PyTorch', 'C++', 'Pandas', 'TensorFlow']",Entry,Full-time,2023-11-19,Mid,"['TensorFlow', 'KDB+']",105170,FR
Tech,Data Scientist,"['AWS', 'R', 'FastAPI', 'Python', 'MLflow']",Mid,Remote,2023-11-19,Mid,['TensorFlow'],108521,IL
Education,Quant Researcher,"['SQL', 'CUDA', 'GCP']",Mid,Internship,2023-11-19,Large,['FastAPI'],58207,PL
